Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Tweet Coordinates,Place Info,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id Str,Quote Status Bool
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:19:27,1359280782041374723,LoLo_10_13,,,1966,0,en,Twitter for iPhone,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:19:26,1359280777872171011,briallenhopper,,,1426,0,en,Twitter Web App,,,False
"RT @psychedelicheal: Om Mushroom organic supplements for optimal health 🍄🌱✌🏽 Available here: https://t.co/rt1VjeCa9g

#health #Mentalhealth…",2021-02-09 23:19:20,1359280754094714880,elzaphan10,,,1,0,en,,,,False
"Om Mushroom organic supplements for optimal health 🍄🌱✌🏽 Available here: https://t.co/rt1VjeCa9g

#health #Mentalhealth #selfcare #selflove #healthy #mushrooms #food #diet #HealthyLife https://t.co/8PsHeSnHlQ",2021-02-09 23:19:15,1359280730602315776,psychedelicheal,,,1,0,en,Twitter for iPhone,,,False
RT @tomaskenn: “Qanon shaman” who participated in insurrection at U.S. Capitol that left several dead will eat organic food while in jail.…,2021-02-09 23:19:05,1359280688588013569,kylekhastulik,,,226,0,en,Twitter for iPhone,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:19:04,1359280687631790083,tigergrrldc,,,1966,0,en,Twitter for Android,,,False
RT @tomaskenn: “Qanon shaman” who participated in insurrection at U.S. Capitol that left several dead will eat organic food while in jail.…,2021-02-09 23:19:04,1359280686696435714,OVOhoolz,,,226,0,en,Twitter for iPhone,,,False
"RT @ReneeAlida: Only in America do we reward stupidity with Mexican  vacations,  organic food and lawsuit settlements for using glue on you…",2021-02-09 23:19:01,1359280674172190722,Omega3_KupoNut,,,218,0,en,Twitter Web App,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:19:00,1359280668933505024,MoeykensKelly,,,1426,0,en,Twitter for iPhone,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:18:52,1359280637685886979,youcantrytocopy,,,1966,0,en,Twitter for Android,,,False
RT @tomaskenn: “Qanon shaman” who participated in insurrection at U.S. Capitol that left several dead will eat organic food while in jail.…,2021-02-09 23:18:32,1359280551337881600,KennyFawkes,,,226,0,en,Twitter for iPad,,,False
"RT @FJSEA: @ericgarland And WTF is the FBI DOING WITH IT??? Mob of 30,000 &amp; ~200 arrests??? And these privileged white insurrectionists are…",2021-02-09 23:18:25,1359280523726577670,somepplrk,,,7,0,en,Twitter for iPhone,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:18:12,1359280469825777670,RoseMJones6,,,1426,0,en,Twitter Web App,,,False
RT @BELLAL0MBARDI: why isnt there a fast food place that isnt actually fast food but healthy organic vegan food but theres a drive through…,2021-02-09 23:18:04,1359280435881103365,naysmne,,,27,0,en,Twitter for Android,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:17:54,1359280390847025157,CadoAtx,,,1966,0,en,Twitter for iPhone,,,False
"RT @ReneeAlida: Only in America do we reward stupidity with Mexican  vacations,  organic food and lawsuit settlements for using glue on you…",2021-02-09 23:17:45,1359280355803615242,Jeremy13908177,,,218,0,en,Twitter for Android,,,False
"@BillKristol Of course. Someone from the GOP also mentioned that they were antifa dressed in red MAGA hats. It all makes perfect sense, if you occupy the world of the irrational. I mean, it's quite obvious that this guy is a Democrat! He eats organic food in prison! https://t.co/8CHY0Ba13P",2021-02-09 23:17:01,1359280169136115714,chrisan51147433,,,0,0,en,Twitter for Android,1359277495405735936,2800581040,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:16:52,1359280133878775814,monique11841105,,,1966,0,en,Twitter for iPhone,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:16:34,1359280057601175554,Darlene35084473,,,1426,0,en,Twitter for Android,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:16:16,1359279981529100288,LocdLens,,,1426,0,en,Twitter for iPhone,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:16:11,1359279959999709188,Ebunky13,,,1426,0,en,Twitter for Android,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:16:07,1359279944547799041,billgable,,,1966,0,en,Twitter Web App,,,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:15:57,1359279900511846404,Jhall33569,,,1426,0,en,Twitter for Android,,,False
"@JoshWal03767364 @CNN He is ""their base"".... they don't want to ruffle the feathers of their delicate ""base"". These people are getting organic food and being allowed to go on fekking vacations!!! Do the crime... be prepared to do the damn time! This entitlement has to end! Why can't GOP see this??????",2021-02-09 23:15:47,1359279860737261570,Hyacint99624698,,,0,0,en,Twitter for Android,1358940854358953984,1087129717113647104,False
"@donwinslow And besides, they cannot be incarcerated anywhere there is not organic food",2021-02-09 23:15:28,1359279782416900097,ragwoman,,,0,1,en,Twitter for iPhone,1359248042302443520,255812611,False
"RT @TiffanyDCross: Remember- some ppl you just saw in that video are home resting comfortably, or back in their offices (don't believe the…",2021-02-09 23:14:58,1359279654864105473,annettea55,,,1426,0,en,Twitter for Android,,,False
"RT @CNN: As trays with bologna sandwiches and canned fruit are being served to millions of people in America's prisons and jails, US Capito…",2021-02-09 23:14:50,1359279622173646848,Bullsranch99,,,1966,0,en,Twitter for Android,,,False
